email,firstName,lastName,phone,accountType
user001@example.com,John,Smith,555-0101,premium
user002@example.com,Jane,Doe,555-0102,basic
user003@example.com,Michael,Johnson,555-0103,premium
user004@example.com,Sarah,Williams,555-0104,basic
user005@example.com,David,Brown,555-0105,premium
user006@example.com,Emily,Jones,555-0106,basic
user007@example.com,Robert,Garcia,555-0107,premium
user008@example.com,Lisa,Miller,555-0108,basic
user009@example.com,James,Davis,555-0109,premium
user010@example.com,Mary,Rodriguez,555-0110,basic
user011@example.com,William,Martinez,555-0111,premium
user012@example.com,Patricia,Hernandez,555-0112,basic
user013@example.com,Richard,Lopez,555-0113,premium
user014@example.com,Jennifer,Gonzalez,555-0114,basic
user015@example.com,Thomas,Wilson,555-0115,premium
user016@example.com,Linda,Anderson,555-0116,basic
user017@example.com,Charles,Thomas,555-0117,premium
user018@example.com,Barbara,Taylor,555-0118,basic
user019@example.com,Joseph,Moore,555-0119,premium
user020@example.com,Susan,Jackson,555-0120,basic
